aya1,STUDBME2,aya2,DIRECT-SUDESKTOP-47FLMSPmsXJ,POCO F3,Daisy,Maisaa,Mohamed���s iPhone,Aya,Redmi,CMP-lab1,Farouk,El-lab,y9,CMP_LAB1,CMP_LAB4,CMP_LAB3,CMP_LAB2,sheren,YMEM,STUDBME3,D-Link_DAP-1360,madoo,WE_B27C4B,WE_0CF411,CUFE,badra22,youssef,ahmedNasser,location
-61,-48,-72,-63,-71,-62,-73,-100,-100,-70,-58,-74,-72,-100,-61,-63,-100,-100,-57,-100,-100,-100,-62,-100,-62,-100,-100,-100,-100,HW 31
-45,-49,-100,-66,-77,-60,-78,-100,-100,-100,-61,-73,-100,-100,-56,-57,-57,-57,-59,-100,-100,-100,-58,-100,-57,-71,-100,-69,-100,HW 31
-53,-45,-69,-67,-77,-66,-74,-100,-79,-69,-55,-100,-100,-100,-100,-55,-55,-100,-59,-71,-100,-100,-52,-100,-54,-100,-100,-100,-100,HW 31
-54,-54,-77,-72,-79,-67,-74,-100,-82,-80,-62,-78,-77,-100,-56,-59,-59,-57,-56,-100,-100,-100,-65,-100,-51,-66,-100,-100,-76,HW 31
-48,-47,-100,-67,-100,-66,-69,-100,-100,-100,-61,-100,-100,-100,-100,-54,-54,-100,-61,-100,-100,-100,-63,-100,-53,-62,-100,-74,-80,HW 31
-52,-50,-84,-65,-100,-64,-73,-100,-79,-70,-100,-75,-78,-100,-100,-100,-100,-100,-62,-72,-100,-100,-54,-79,-55,-73,-100,-100,-100,HW 31
-58,-53,-100,-100,-100,-62,-76,-100,-82,-100,-58,-77,-100,-100,-100,-100,-100,-100,-57,-100,-100,-100,-51,-74,-55,-71,-100,-100,-100,HW 31
-49,-56,-100,-72,-80,-65,-100,-100,-78,-100,-62,-100,-100,-100,-54,-54,-100,-100,-60,-80,-100,-100,-58,-100,-54,-75,-100,-76,-100,HW 31
-50,-48,-100,-73,-78,-63,-75,-100,-85,-100,-100,-100,-100,-100,-67,-64,-66,-66,-63,-100,-100,-100,-56,-100,-58,-78,-100,-100,-100,HW 31
-48,-52,-86,-73,-84,-64,-72,-100,-81,-77,-64,-100,-72,-100,-58,-64,-65,-60,-61,-100,-100,-100,-56,-77,-54,-75,-100,-100,-100,HW 31
-49,-49,-72,-68,-83,-63,-73,-100,-80,-100,-100,-100,-100,-63,-54,-56,-54,-56,-59,-100,-100,-100,-55,-100,-58,-65,-73,-100,-77,HW 31
-46,-50,-72,-69,-100,-64,-72,-100,-100,-71,-100,-100,-100,-52,-62,-63,-61,-60,-56,-100,-100,-100,-66,-100,-54,-72,-100,-100,-100,HW 31
-49,-51,-76,-71,-83,-68,-71,-100,-100,-82,-64,-100,-100,-61,-62,-67,-100,-59,-100,-100,-100,-100,-64,-76,-60,-73,-100,-74,-100,HW 31
-43,-56,-77,-65,-82,-67,-80,-100,-100,-100,-60,-100,-73,-62,-100,-100,-56,-58,-52,-100,-100,-100,-58,-81,-53,-67,-73,-100,-100,HW 31
-48,-51,-76,-73,-100,-66,-100,-100,-83,-71,-68,-100,-100,-57,-68,-100,-100,-100,-61,-100,-100,-100,-59,-100,-100,-100,-100,-100,-100,HW 31
-67,-49,-77,-71,-80,-59,-74,-100,-100,-71,-67,-100,-100,-64,-63,-61,-61,-63,-100,-68,-100,-100,-60,-100,-100,-100,-100,-100,-100,HW 31
-53,-48,-87,-65,-85,-62,-100,-100,-100,-100,-61,-78,-100,-61,-64,-64,-65,-100,-58,-70,-100,-100,-56,-78,-51,-66,-100,-100,-100,HW 31
-50,-48,-100,-67,-86,-64,-74,-100,-82,-69,-63,-77,-70,-56,-62,-100,-100,-56,-100,-70,-100,-100,-64,-75,-57,-67,-100,-100,-100,HW 31
-46,-48,-72,-69,-80,-71,-71,-100,-100,-69,-63,-78,-100,-55,-100,-54,-55,-70,-56,-100,-100,-100,-61,-100,-53,-68,-73,-100,-100,HW 31
-46,-52,-86,-69,-82,-72,-71,-100,-89,-100,-63,-100,-100,-55,-61,-62,-61,-62,-59,-100,-100,-100,-52,-85,-57,-100,-100,-100,-100,HW 31
