aya2,Daisy,aya1,STUDBME2,y9,Farouk,CMP_LAB3,CUFE,CMP_LAB1,CMP_LAB4,CMP_LAB2,STUDBME3,sheren,RehabLab,eego024,STUDBME1,Redmi,CMP-lab1,El-lab,Maisaa,POCO F3,YMEM,WE_0CF411,Ayazz,BMEStudentLab3,location
-81,-65,-61,-45,-54,-61,-48,-100,-49,-49,-50,-100,-50,-65,-100,-59,-100,-70,-100,-77,-100,-100,-100,-82,-100,HW 32
-72,-72,-62,-53,-50,-58,-45,-59,-48,-45,-45,-84,-48,-100,-77,-100,-64,-68,-100,-100,-100,-100,-100,-100,-100,HW 32
-74,-65,-71,-55,-53,-59,-100,-64,-49,-50,-100,-100,-45,-70,-100,-100,-100,-100,-100,-100,-79,-100,-100,-100,-100,HW 32
-100,-60,-70,-53,-52,-56,-49,-63,-48,-49,-48,-79,-46,-68,-100,-63,-64,-68,-100,-81,-89,-100,-100,-100,-100,HW 32
-68,-60,-68,-50,-50,-58,-51,-60,-52,-52,-51,-100,-52,-59,-100,-100,-69,-71,-100,-100,-78,-100,-100,-100,-87,HW 32
-81,-70,-73,-54,-59,-64,-100,-66,-100,-52,-100,-100,-49,-69,-100,-100,-64,-75,-100,-80,-84,-100,-73,-100,-100,HW 32
-88,-66,-67,-53,-53,-58,-100,-100,-56,-100,-54,-100,-50,-65,-100,-100,-60,-100,-100,-83,-79,-100,-100,-100,-100,HW 32
-71,-58,-67,-44,-50,-53,-54,-65,-100,-100,-57,-100,-47,-100,-73,-64,-55,-58,-67,-74,-76,-100,-100,-100,-100,HW 32
-68,-57,-66,-44,-48,-100,-54,-100,-72,-55,-54,-100,-100,-75,-78,-100,-70,-63,-73,-72,-75,-77,-100,-73,-100,HW 32
-78,-61,-61,-46,-58,-67,-100,-100,-53,-100,-55,-100,-49,-68,-72,-100,-61,-73,-100,-82,-80,-100,-100,-100,-100,HW 32
-72,-68,-58,-47,-54,-60,-53,-66,-100,-52,-100,-100,-51,-66,-100,-100,-68,-65,-100,-71,-83,-100,-100,-100,-100,HW 32
-69,-57,-58,-48,-66,-59,-55,-100,-57,-57,-56,-100,-54,-62,-100,-100,-79,-70,-100,-74,-83,-70,-100,-100,-100,HW 32
